,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0,41,880,129,322,126,8.3252,45.26
1,21,7099,1106,2401,1138,8.3014,35.85
2,52,1467,190,496,177,7.2574,35.21
3,52,1274,235,558,219,5.6431,34.13
4,52,1627,280,565,259,3.8462,34.22
5,52,919,213,413,193,4.0368,26.97
6,52,2535,489,1094,514,3.6591,29.92
7,52,3104,687,1157,647,3.12,24.14
8,42,2555,665,1206,595,2.0804,22.67
9,52,3549,707,1551,714,3.6912,26.11
10,52,2202,434,910,402,3.2031,28.15
11,52,3503,752,1504,734,3.2705,24.18
12,52,2491,474,1098,468,3.075,21.35
13,52,696,191,345,174,2.6736,19.13
14,52,2643,626,1212,620,1.9167,15.92
15,50,1120,283,697,264,2.125,14
16,52,1966,347,793,331,2.775,15.25
17,52,1228,293,648,303,2.1202,15.55
18,50,2239,455,990,419,1.9911,15.87
19,52,1503,298,690,275,2.6033,16.29
20,40,751,184,409,166,1.3578,14.75
21,42,1639,367,929,366,1.7135,15.98
22,52,2436,541,1015,478,1.725,11.39
23,52,1688,337,853,325,2.1806,9.97
24,52,2224,437,1006,422,2.6,13.26
25,41,535,123,317,119,2.4038,10.75
26,49,1130,244,607,239,2.4597,9.38
27,52,1898,421,1102,397,1.808,10.55
28,50,2082,492,1131,473,1.6424,10.89
29,52,729,160,395,155,1.6875,13.2
30,49,1916,447,863,378,1.9274,12.23
31,52,2153,481,1168,441,1.9615,11.52
32,48,1922,409,1026,335,1.7969,11.04
33,49,1655,366,754,329,1.375,10.49
34,51,2665,574,1258,536,2.7303,10.97
35,49,1215,282,570,264,1.4861,9.72
36,48,1798,432,987,374,1.0972,10.45
37,52,1511,390,901,403,1.4103,10.39
38,52,1470,330,689,309,3.48,19.14
39,52,2432,715,1377,696,2.5898,17.6
40,52,1665,419,946,395,2.0978,15.54
41,51,936,311,517,249,1.2852,15
42,49,713,202,462,189,1.025,11.88
43,52,950,202,467,198,3.9643,18.88
44,52,1443,311,660,292,3.0125,18.44
45,52,1656,420,718,382,2.6768,18.23
46,50,1125,322,616,304,2.026,14.25
47,43,1007,312,558,253,1.7348,13.75
48,40,624,195,423,160,0.9506,18.75
49,40,946,375,700,352,1.775,11.25
50,21,896,453,735,438,0.9218,17.19
51,43,1868,456,1061,407,1.5045,9.38
52,41,3221,853,1959,720,1.1108,9.75
53,52,1630,456,1162,400,1.2475,10.42
54,52,1170,235,701,233,1.6098,8.75
55,52,945,243,576,220,1.4113,8.31
56,52,1238,288,622,259,1.5057,8.75
57,52,1489,335,728,244,0.8172,8.53
58,52,1387,341,1074,304,1.2171,8.03
59,2,158,43,94,57,2.5625,6
60,52,1121,211,554,187,3.3929,7.57
61,49,135,29,86,23,6.1183,7.5
62,50,760,190,377,122,0.9011,8.61
63,52,1224,237,521,159,1.191,7.61
64,48,828,182,392,133,2.5938,7.35
65,52,1010,209,604,187,1.1667,7.84
66,48,1455,354,788,332,0.8056,8.44
67,52,1027,244,492,147,2.6094,8.13
68,52,572,109,274,82,1.8516,8.5
69,46,2801,644,1823,611,0.9802,12.92
70,26,768,152,392,127,1.7719,8.25
71,46,935,297,582,277,0.7286,9.52
72,49,844,204,560,152,1.75,7.5
73,46,12,4,18,7,0.4999,6.75
74,20,835,161,290,133,2.483,13.75
75,17,1237,462,762,439,0.9241,17.75
76,36,2914,562,1236,509,2.4464,10.21
77,19,1207,243,721,207,1.1111,10.83
78,23,1745,374,1054,325,0.8026,11.25
79,38,684,176,344,155,2.0114,13.13
80,17,924,289,609,289,1.5,16.25
81,52,210,56,183,56,1.1667,11.25
82,52,340,97,200,87,1.5208,11.25
83,52,386,164,346,155,0.8075,13.75
84,35,948,184,467,169,1.8088,11.88
85,52,773,143,377,115,2.4083,9.82
86,40,880,451,582,380,0.977,11.88
87,10,875,348,546,330,0.76,16.25
88,10,105,42,125,39,0.9722,13.75
89,52,249,78,396,85,1.2434,50.0001
90,16,994,392,800,362,2.0938,16.25
91,52,215,87,904,88,0.8668,13.75
92,52,96,31,191,34,0.75,16.25
93,27,1055,347,718,302,2.6354,18.75
94,39,1715,623,1327,467,1.8477,17.92
95,36,5329,2477,3469,2323,2.0096,13
96,31,4596,1331,2048,1180,2.8345,18.38
97,29,335,107,202,91,2.0062,12.5
98,22,3682,1270,2024,1250,1.2185,17
99,37,3633,1085,1838,980,2.6104,19.31
100,29,4656,1414,2304,1250,2.4912,25.78
101,28,5806,1603,2563,1497,3.2177,27.34
102,39,854,242,389,228,3.125,23.75
103,52,2155,701,895,613,2.5795,35
104,34,5871,1914,2689,1789,2.8406,33.57
105,52,1509,225,674,244,4.9306,31.34
106,52,2026,482,709,456,3.2727,26.85
107,52,1758,460,686,422,3.1691,25.94
108,52,3481,751,1444,718,3.9,27.57
109,28,3337,855,1520,802,3.9063,22.5
110,52,1424,289,550,253,5.0917,26.25
111,32,3809,1098,1806,1022,2.6429,21.85
112,26,3959,1196,1749,1217,3.0233,25.5
113,52,2376,559,939,519,3.1484,22.41
114,35,1613,428,675,422,3.4722,24.31
115,52,1279,287,534,291,3.1429,23.16
116,28,5022,1750,2558,1661,2.4234,21.85
117,52,4190,1105,1786,1037,3.0897,23.41
118,50,2515,399,970,373,5.8596,32.76
119,47,3175,454,1098,485,5.2868,34.76
120,41,2576,406,794,376,5.956,36.61
121,37,334,54,98,47,4.9643,33.5
122,52,2800,411,1061,403,6.3434,37.36
123,52,3529,574,1177,555,5.1773,38.95
124,52,2612,365,901,367,7.2354,39.11
125,28,5287,1048,2031,956,5.457,33.73
126,50,2935,473,1031,479,7.5,29.52
127,44,3424,597,1358,597,6.0194,29.23
128,40,4991,674,1616,654,7.5544,41.15
129,30,2211,346,844,343,6.0666,31.15
130,34,3038,490,1140,496,7.0548,32.59
131,18,1617,210,533,194,11.6017,39.26
132,35,2865,460,1072,443,7.4882,31.93
133,34,5065,788,1627,766,6.8976,33.33
134,28,1326,184,463,190,8.2049,33.52
135,26,1589,223,542,211,8.401,35.12
136,29,1791,271,661,269,6.8538,36.89
137,32,1835,264,635,263,8.317,36.59
138,37,1229,181,420,176,7.0175,36.67
139,39,3770,534,1265,500,6.3302,36.28
140,30,292,38,126,52,6.3624,48.33
141,52,2375,333,813,350,7.0549,33.14
142,45,2964,436,1067,426,6.7851,32.35
143,50,2833,605,1260,552,2.8929,21.67
144,38,2254,535,951,487,3.0812,23.31
145,52,1389,212,510,224,5.2402,29.64
146,52,1971,335,765,308,6.5217,27.37
147,52,2183,465,1129,460,3.2632,22.77
148,52,2286,464,1073,441,3.0298,19.96
149,52,2721,541,1185,515,4.5428,23.98
150,52,2024,339,756,340,4.072,27.01
151,52,2944,536,1034,521,5.3509,30.21
152,52,2033,486,787,459,3.1603,26.95
153,52,1433,229,612,213,4.7708,31.47
154,52,2927,402,1021,380,8.1564,39.01
155,52,2315,292,861,258,8.8793,41.03
156,52,2485,313,953,327,6.8591,35.24
157,52,1490,238,634,256,6.0302,28.73
158,52,2814,365,878,352,7.508,34.87
159,52,2093,550,918,483,2.7477,24.38
160,52,888,168,360,175,2.1944,21.15
161,52,2087,510,1197,488,3.0149,21.84
162,52,2513,502,1048,518,3.675,26.99
163,46,3232,835,1373,747,3.225,21.88
164,42,4120,1065,1715,1015,2.9345,22.5
165,43,2364,792,1359,722,2.1429,25
166,41,1471,469,1062,413,1.6121,17.14
167,29,2468,864,1335,773,1.3929,19.38
168,27,1632,492,1171,429,2.3173,12.5
169,45,1786,526,1475,460,1.7772,9.75
170,50,629,188,742,196,2.6458,12.5
171,52,1339,391,1086,363,2.181,13.88
172,36,1678,606,1645,543,2.2303,11.67
173,43,2344,647,1710,644,1.6504,15.18
174,52,996,228,731,228,2.2697,12.7
175,52,1591,373,1118,347,2.1563,12.86
176,52,1586,398,1006,335,2.1348,14.06
177,47,2046,588,1213,554,2.6292,18.27
178,52,1192,289,772,257,2.3833,14.69
179,52,1803,420,1321,401,2.957,12.28
180,49,2838,749,1487,677,2.5238,16.93
181,52,783,184,488,186,1.9375,12.66
182,51,1590,414,949,392,1.9028,12.79
183,50,1746,480,1149,415,2.25,12.35
184,52,1252,299,844,280,2.3929,11.19
185,43,5963,1344,4367,1231,2.1917,11.28
186,52,1783,395,1659,412,2.9357,10.79
187,30,999,264,1011,263,1.8854,13.75
188,39,1469,431,1464,389,2.1638,10.55
189,47,1372,395,1237,303,2.125,9.55
190,52,674,180,647,168,3.375,11.61
191,43,1626,376,1284,357,2.2542,11.22
192,51,175,43,228,55,2.1,7.5
193,39,461,129,381,123,1.6,11.25
194,52,902,237,846,227,3.625,12.5
195,20,2373,779,1659,676,1.6929,11.5
196,52,391,128,520,138,1.6471,9.5
